feature,importance
cat__DOMINANT_CRIME_TYPE_WEAPONS POSSESSION/BOMBING,0.0
cat__DOMINANT_PREMISE_7TH AND METRO CENTER (NOT LINE SPECIFIC),0.0
cat__DOMINANT_PREMISE_ABATEMENT LOCATION,0.0
cat__DOMINANT_PREMISE_COMPUTER SERVICES/REPAIRS/SALES,0.0
cat__DOMINANT_PREMISE_VETERINARIAN/ANIMAL HOSPITAL,0.0
"cat__DOMINANT_PREMISE_VEHICLE STORAGE LOT (CARS, TRUCKS, RV'S, BOATS, TRAILERS, ETC.)",0.0
cat__DOMINANT_PREMISE_TRASH CAN/TRASH DUMPSTER,0.0
"cat__DOMINANT_PREMISE_TRUCK, COMMERICAL",0.0
cat__DOMINANT_PREMISE_Unknown,0.0
cat__DOMINANT_PREMISE_VALET,0.0
cat__DOMINANT_PREMISE_UNDERPASS/BRIDGE*,0.0
cat__DOMINANT_PREMISE_TV/RADIO/APPLIANCE,0.0
cat__DOMINANT_PREMISE_MTA - GOLD LINE - MARIACHI PLAZA,0.0
cat__DOMINANT_PREMISE_MTA - GOLD LINE - LINCOLN/CYPRESS,0.0
cat__DOMINANT_PREMISE_MTA - GOLD LINE - INDIANA,0.0
cat__DOMINANT_PREMISE_MTA - GOLD LINE - HIGHLAND PARK,0.0
cat__DOMINANT_PREMISE_MTA - GOLD LINE - HERITAGE SQ,0.0
cat__DOMINANT_PREMISE_MTA - EXPO LINE - WESTWOOD/RANCHO PARK,0.0
cat__DOMINANT_PREMISE_MTA - EXPO LINE - PALMS,0.0
cat__DOMINANT_PREMISE_MTA - EXPO LINE - JEFFERSON/USC,0.0
cat__DOMINANT_PREMISE_MTA - EXPO LINE - EXPO/BUNDY,0.0
cat__DOMINANT_PREMISE_MTA - EXPO LINE - EXPO/WESTERN,0.0
